Package name,Severity,Version,Fixed in version,Description,CVE ID,Source
binutils,MEDIUM,2.30-119.0.1.el8,2.30-119.0.2.el8_8.2,An illegal memory access flaw was found in the binutils package. Parsing an ELF file containing corrupt symbol version information may result in a denial of service. This issue is the result of an incomplete fix for CVE-2020-16599.,CVE-2022-4285,goelavdhesh123/student-service
binutils,LOW,2.30-119.0.1.el8,2.30-125.0.1.el8_10,"finish_stab in stabs.c in GNU Binutils 2.30 allows attackers to cause a denial of service (heap-based buffer overflow) or possibly have unspecified other impact, as demonstrated by an out-of-bounds write of 8 bytes. This can occur during execution of objdump.",CVE-2018-12699,goelavdhesh123/student-service
bzip2-libs,MEDIUM,1.0.6-26.el8,1.0.6-28.el8_10,BZ2_decompress in decompress.c in bzip2 through 1.0.6 has an out-of-bounds write when there are many selectors.,CVE-2019-12900,goelavdhesh123/student-service
curl,MEDIUM,7.61.1-30.el8_8.3,7.61.1-33.el8_9.5,"An information disclosure vulnerability exists in curl <v8.1.0 when doing HTTP(S) transfers, libcurl might erroneously use the read callback (`CURLOPT_READFUNCTION`) to ask for data to send, even when the `CURLOPT_POSTFIELDS` option has been set, if the same handle previously wasused to issue a `PUT` request which used that callback. This flaw may surprise the application and cause it to misbehave and either send off the wrong data or use memory after free or similar in the second transfer. The problem exists in the logic for a reused handle when it is (expected to be) changed from a PUT to a POST.",CVE-2023-28322,goelavdhesh123/student-service
curl,MEDIUM,7.61.1-30.el8_8.3,7.61.1-33.el8_9.5,"This flaw allows an attacker to insert cookies at will into a running program
using libcurl, if the specific series of conditions are met.

libcurl performs transfers. In its API, an application creates ""easy handles""
that are the individual handles for single transfers.

libcurl provides a function call that duplicates en easy handle called
[curl_easy_duphandle](https://curl.se/libcurl/c/curl_easy_duphandle.html).

If a transfer has cookies enabled when the handle is duplicated, the
cookie-enable state is also cloned - but without cloning the actual
cookies. If the source handle did not read any cookies from a specific file on
disk, the cloned version of the handle would instead store the file name as
`none` (using the four ASCII letters, no quotes).

Subsequent use of the cloned handle that does not explicitly set a source to
load cookies from would then inadvertently load cookies from a file named
`none` - if such a file exists and is readable in the current directory of the
program using libcurl. And if using the correct file format of course.",CVE-2023-38546,goelavdhesh123/student-service
curl,MEDIUM,7.61.1-30.el8_8.3,7.61.1-33.el8_9.5,"This flaw allows a malicious HTTP server to set ""super cookies"" in curl that
are then passed back to more origins than what is otherwise allowed or
possible. This allows a site to set cookies that then would get sent to
different and unrelated sites and domains.

It could do this by exploiting a mixed case flaw in curl's function that
verifies a given cookie domain against the Public Suffix List (PSL). For
example a cookie could be set with `domain=co.UK` when the URL used a lower
case hostname `curl.co.uk`, even though `co.uk` is listed as a PSL domain.",CVE-2023-46218,goelavdhesh123/student-service
curl,MEDIUM,7.61.1-30.el8_8.3,7.61.1-34.el8_10.2,"When an application tells libcurl it wants to allow HTTP/2 server push, and the amount of received headers for the push surpasses the maximum allowed limit (1000), libcurl aborts the server push. When aborting, libcurl inadvertently does not free all the previously allocated headers and instead leaks the memory.  Further, this error condition fails silently and is therefore not easily detected by an application.",CVE-2024-2398,goelavdhesh123/student-service
expat,MEDIUM,2.2.5-11.0.1.el8,2.2.5-11.0.1.el8_9.1,libexpat through 2.5.0 allows a denial of service (resource consumption) because many full reparsings are required in the case of a large token for which multiple buffer fills are needed.,CVE-2023-52425,goelavdhesh123/student-service
expat,MEDIUM,2.2.5-11.0.1.el8,2.2.5-15.0.1.el8_10,An issue was discovered in libexpat before 2.6.3. xmlparse.c does not reject a negative length for XML_ParseBuffer.,CVE-2024-45490,goelavdhesh123/student-service
expat,MEDIUM,2.2.5-11.0.1.el8,2.2.5-15.0.1.el8_10,An issue was discovered in libexpat before 2.6.3. dtdCopy in xmlparse.c can have an integer overflow for nDefaultAtts on 32-bit platforms (where UINT_MAX equals SIZE_MAX).,CVE-2024-45491,goelavdhesh123/student-service
expat,MEDIUM,2.2.5-11.0.1.el8,2.2.5-15.0.1.el8_10,An issue was discovered in libexpat before 2.6.3. nextScaffoldPart in xmlparse.c can have an integer overflow for m_groupSize on 32-bit platforms (where UINT_MAX equals SIZE_MAX).,CVE-2024-45492,goelavdhesh123/student-service
expat,MEDIUM,2.2.5-11.0.1.el8,2.2.5-16.0.1.el8_10,An issue was discovered in libexpat before 2.6.4. There is a crash within the XML_ResumeParser function because XML_StopParser can stop/suspend an unstarted parser.,CVE-2024-50602,goelavdhesh123/student-service
glibc,HIGH,2.28-225.0.3.el8,2.28-225.0.4.el8_8.6,"A flaw was found in glibc. When the getaddrinfo function is called with the AF_UNSPEC address family and the system is configured with no-aaaa mode via /etc/resolv.conf, a DNS response via TCP larger than 2048 bytes can potentially disclose stack contents through the function returned address data, and may cause a crash.",CVE-2023-4527,goelavdhesh123/student-service
glibc,HIGH,2.28-225.0.3.el8,2.28-225.0.4.el8_8.6,"A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.",CVE-2023-4806,goelavdhesh123/student-service
glibc,HIGH,2.28-225.0.3.el8,2.28-225.0.4.el8_8.6,"A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.",CVE-2023-4813,goelavdhesh123/student-service
glibc,HIGH,2.28-225.0.3.el8,2.28-225.0.4.el8_8.6,A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.,CVE-2023-4911,goelavdhesh123/student-service
glibc,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.1,"The iconv() function in the GNU C Library versions 2.39 and older may overflow the output buffer passed to it by up to 4 bytes when converting strings to the ISO-2022-CN-EXT character set, which may be used to crash an application or overwrite a neighbouring variable.",CVE-2024-2961,goelavdhesh123/student-service
glibc,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.2,"nscd: Stack-based buffer overflow in netgroup cache

If the Name Service Cache Daemon's (nscd) fixed size cache is exhausted
by client requests then a subsequent client request for netgroup data
may result in a stack-based buffer overflow.  This flaw was introduced
in glibc 2.15 when the cache was added to nscd.

This vulnerability is only present in the nscd binary.",CVE-2024-33599,goelavdhesh123/student-service
glibc,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.2,"nscd: Null pointer crashes after notfound response

If the Name Service Cache Daemon's (nscd) cache fails to add a not-found
netgroup response to the cache, the client request can result in a null
pointer dereference.  This flaw was introduced in glibc 2.15 when the
cache was added to nscd.

This vulnerability is only present in the nscd binary.",CVE-2024-33600,goelavdhesh123/student-service
glibc,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.2,"nscd: netgroup cache may terminate daemon on memory allocation failure

The Name Service Cache Daemon's (nscd) netgroup cache uses xmalloc or
xrealloc and these functions may terminate the process due to a memory
allocation failure resulting in a denial of service to the clients.  The
flaw was introduced in glibc 2.15 when the cache was added to nscd.

This vulnerability is only present in the nscd binary.",CVE-2024-33601,goelavdhesh123/student-service
glibc,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.2,"nscd: netgroup cache assumes NSS callback uses in-buffer strings

The Name Service Cache Daemon's (nscd) netgroup cache can corrupt memory
when the NSS callback does not store all strings in the provided buffer.
The flaw was introduced in glibc 2.15 when the cache was added to nscd.

This vulnerability is only present in the nscd binary.",CVE-2024-33602,goelavdhesh123/student-service
glibc-common,HIGH,2.28-225.0.3.el8,2.28-225.0.4.el8_8.6,"A flaw was found in glibc. When the getaddrinfo function is called with the AF_UNSPEC address family and the system is configured with no-aaaa mode via /etc/resolv.conf, a DNS response via TCP larger than 2048 bytes can potentially disclose stack contents through the function returned address data, and may cause a crash.",CVE-2023-4527,goelavdhesh123/student-service
glibc-common,HIGH,2.28-225.0.3.el8,2.28-225.0.4.el8_8.6,"A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.",CVE-2023-4806,goelavdhesh123/student-service
glibc-common,HIGH,2.28-225.0.3.el8,2.28-225.0.4.el8_8.6,"A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.",CVE-2023-4813,goelavdhesh123/student-service
glibc-common,HIGH,2.28-225.0.3.el8,2.28-225.0.4.el8_8.6,A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.,CVE-2023-4911,goelavdhesh123/student-service
glibc-common,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.1,"The iconv() function in the GNU C Library versions 2.39 and older may overflow the output buffer passed to it by up to 4 bytes when converting strings to the ISO-2022-CN-EXT character set, which may be used to crash an application or overwrite a neighbouring variable.",CVE-2024-2961,goelavdhesh123/student-service
glibc-common,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.2,"nscd: Stack-based buffer overflow in netgroup cache

If the Name Service Cache Daemon's (nscd) fixed size cache is exhausted
by client requests then a subsequent client request for netgroup data
may result in a stack-based buffer overflow.  This flaw was introduced
in glibc 2.15 when the cache was added to nscd.

This vulnerability is only present in the nscd binary.",CVE-2024-33599,goelavdhesh123/student-service
glibc-common,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.2,"nscd: Null pointer crashes after notfound response

If the Name Service Cache Daemon's (nscd) cache fails to add a not-found
netgroup response to the cache, the client request can result in a null
pointer dereference.  This flaw was introduced in glibc 2.15 when the
cache was added to nscd.

This vulnerability is only present in the nscd binary.",CVE-2024-33600,goelavdhesh123/student-service
glibc-common,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.2,"nscd: netgroup cache may terminate daemon on memory allocation failure

The Name Service Cache Daemon's (nscd) netgroup cache uses xmalloc or
xrealloc and these functions may terminate the process due to a memory
allocation failure resulting in a denial of service to the clients.  The
flaw was introduced in glibc 2.15 when the cache was added to nscd.

This vulnerability is only present in the nscd binary.",CVE-2024-33601,goelavdhesh123/student-service
glibc-common,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.2,"nscd: netgroup cache assumes NSS callback uses in-buffer strings

The Name Service Cache Daemon's (nscd) netgroup cache can corrupt memory
when the NSS callback does not store all strings in the provided buffer.
The flaw was introduced in glibc 2.15 when the cache was added to nscd.

This vulnerability is only present in the nscd binary.",CVE-2024-33602,goelavdhesh123/student-service
glibc-minimal-langpack,HIGH,2.28-225.0.3.el8,2.28-225.0.4.el8_8.6,"A flaw was found in glibc. When the getaddrinfo function is called with the AF_UNSPEC address family and the system is configured with no-aaaa mode via /etc/resolv.conf, a DNS response via TCP larger than 2048 bytes can potentially disclose stack contents through the function returned address data, and may cause a crash.",CVE-2023-4527,goelavdhesh123/student-service
glibc-minimal-langpack,HIGH,2.28-225.0.3.el8,2.28-225.0.4.el8_8.6,"A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memory that has been freed, resulting in an application crash. This issue is only exploitable when a NSS module implements only the _nss_*_gethostbyname2_r and _nss_*_getcanonname_r hooks without implementing the _nss_*_gethostbyname3_r hook. The resolved name should return a large number of IPv6 and IPv4, and the call to the getaddrinfo function should have the AF_INET6 address family with AI_CANONNAME, AI_ALL and AI_V4MAPPED as flags.",CVE-2023-4806,goelavdhesh123/student-service
glibc-minimal-langpack,HIGH,2.28-225.0.3.el8,2.28-225.0.4.el8_8.6,"A flaw was found in glibc. In an uncommon situation, the gaih_inet function may use memory that has been freed, resulting in an application crash. This issue is only exploitable when the getaddrinfo function is called and the hosts database in /etc/nsswitch.conf is configured with SUCCESS=continue or SUCCESS=merge.",CVE-2023-4813,goelavdhesh123/student-service
glibc-minimal-langpack,HIGH,2.28-225.0.3.el8,2.28-225.0.4.el8_8.6,A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.,CVE-2023-4911,goelavdhesh123/student-service
glibc-minimal-langpack,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.1,"The iconv() function in the GNU C Library versions 2.39 and older may overflow the output buffer passed to it by up to 4 bytes when converting strings to the ISO-2022-CN-EXT character set, which may be used to crash an application or overwrite a neighbouring variable.",CVE-2024-2961,goelavdhesh123/student-service
glibc-minimal-langpack,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.2,"nscd: Stack-based buffer overflow in netgroup cache

If the Name Service Cache Daemon's (nscd) fixed size cache is exhausted
by client requests then a subsequent client request for netgroup data
may result in a stack-based buffer overflow.  This flaw was introduced
in glibc 2.15 when the cache was added to nscd.

This vulnerability is only present in the nscd binary.",CVE-2024-33599,goelavdhesh123/student-service
glibc-minimal-langpack,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.2,"nscd: Null pointer crashes after notfound response

If the Name Service Cache Daemon's (nscd) cache fails to add a not-found
netgroup response to the cache, the client request can result in a null
pointer dereference.  This flaw was introduced in glibc 2.15 when the
cache was added to nscd.

This vulnerability is only present in the nscd binary.",CVE-2024-33600,goelavdhesh123/student-service
glibc-minimal-langpack,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.2,"nscd: netgroup cache may terminate daemon on memory allocation failure

The Name Service Cache Daemon's (nscd) netgroup cache uses xmalloc or
xrealloc and these functions may terminate the process due to a memory
allocation failure resulting in a denial of service to the clients.  The
flaw was introduced in glibc 2.15 when the cache was added to nscd.

This vulnerability is only present in the nscd binary.",CVE-2024-33601,goelavdhesh123/student-service
glibc-minimal-langpack,HIGH,2.28-225.0.3.el8,2.28-251.0.2.el8_10.2,"nscd: netgroup cache assumes NSS callback uses in-buffer strings

The Name Service Cache Daemon's (nscd) netgroup cache can corrupt memory
when the NSS callback does not store all strings in the provided buffer.
The flaw was introduced in glibc 2.15 when the cache was added to nscd.

This vulnerability is only present in the nscd binary.",CVE-2024-33602,goelavdhesh123/student-service
gmp,MEDIUM,1:6.1.2-10.el8,1:6.1.2-11.el8,"GNU Multiple Precision Arithmetic Library (GMP) through 6.2.1 has an mpz/inp_raw.c integer overflow and resultant buffer overflow via crafted input, leading to a segmentation fault on 32-bit platforms.",CVE-2021-43618,goelavdhesh123/student-service
gnutls,MEDIUM,3.6.16-6.el8_7,3.6.16-8.el8_9,A vulnerability was found that the response times to malformed ciphertexts in RSA-PSK ClientKeyExchange differ from response times of ciphertexts with correct PKCS#1 v1.5 padding.,CVE-2023-5981,goelavdhesh123/student-service
gnutls,MEDIUM,3.6.16-6.el8_7,3.6.16-8.el8_9.1,"A vulnerability was found in GnuTLS. The response times to malformed ciphertexts in RSA-PSK ClientKeyExchange differ from the response times of ciphertexts with correct PKCS#1 v1.5 padding. This issue may allow a remote attacker to perform a timing side-channel attack in the RSA-PSK key exchange, potentially leading to the leakage of sensitive data. CVE-2024-0553 is designated as an incomplete resolution for CVE-2023-5981.",CVE-2024-0553,goelavdhesh123/student-service
gnutls,MEDIUM,3.6.16-6.el8_7,3.6.16-8.el8_9.3,"A flaw was found in GnuTLS. The Minerva attack is a cryptographic vulnerability that exploits deterministic behavior in systems like GnuTLS, leading to side-channel leaks. In specific scenarios, such as when using the GNUTLS_PRIVKEY_FLAG_REPRODUCIBLE flag, it can result in a noticeable step in nonce size from 513 to 512 bits, exposing a potential timing side-channel.",CVE-2024-28834,goelavdhesh123/student-service
krb5-libs,HIGH,1.18.2-25.0.1.el8_8,1.18.2-30.0.1.el8_10,"RADIUS Protocol under RFC 2865 is susceptible to forgery attacks by a local attacker who can modify any valid Response (Access-Accept, Access-Reject, or Access-Challenge) to any other response using a chosen-prefix collision attack against MD5 Response Authenticator signature.",CVE-2024-3596,goelavdhesh123/student-service
krb5-libs,HIGH,1.18.2-25.0.1.el8_8,1.18.2-29.0.1.el8_10,"In MIT Kerberos 5 (aka krb5) before 1.21.3, an attacker can cause invalid memory reads during GSS message token handling by sending message tokens with invalid length fields.",CVE-2024-37371,goelavdhesh123/student-service
krb5-libs,MEDIUM,1.18.2-25.0.1.el8_8,1.18.2-27.0.1.el8_10,Kerberos 5 (aka krb5) 1.21.2 contains a memory leak in /krb5/src/lib/rpc/pmap_rmt.c.,CVE-2024-26458,goelavdhesh123/student-service
krb5-libs,MEDIUM,1.18.2-25.0.1.el8_8,1.18.2-27.0.1.el8_10,Kerberos 5 (aka krb5) 1.21.2 contains a memory leak vulnerability in /krb5/src/lib/gssapi/krb5/k5sealv3.c.,CVE-2024-26461,goelavdhesh123/student-service
krb5-libs,MEDIUM,1.18.2-25.0.1.el8_8,1.18.2-29.0.1.el8_10,"In MIT Kerberos 5 (aka krb5) before 1.21.3, an attacker can modify the plaintext Extra Count field of a confidential GSS krb5 wrap token, causing the unwrapped token to appear truncated to the application.",CVE-2024-37370,goelavdhesh123/student-service
krb5-libs,MEDIUM,1.18.2-25.0.1.el8_8,1.18.2-31.0.1.el8_10,"A flaw was found in krb5. With incremental propagation enabled, an authenticated attacker can cause kadmind to write beyond the end of the mapped region for the iprop log file. This issue can trigger a process crash and lead to a denial of service.",CVE-2025-24528,goelavdhesh123/student-service
libcurl,MEDIUM,7.61.1-30.el8_8.3,7.61.1-33.el8_9.5,"An information disclosure vulnerability exists in curl <v8.1.0 when doing HTTP(S) transfers, libcurl might erroneously use the read callback (`CURLOPT_READFUNCTION`) to ask for data to send, even when the `CURLOPT_POSTFIELDS` option has been set, if the same handle previously wasused to issue a `PUT` request which used that callback. This flaw may surprise the application and cause it to misbehave and either send off the wrong data or use memory after free or similar in the second transfer. The problem exists in the logic for a reused handle when it is (expected to be) changed from a PUT to a POST.",CVE-2023-28322,goelavdhesh123/student-service
libcurl,MEDIUM,7.61.1-30.el8_8.3,7.61.1-33.el8_9.5,"This flaw allows an attacker to insert cookies at will into a running program
using libcurl, if the specific series of conditions are met.

libcurl performs transfers. In its API, an application creates ""easy handles""
that are the individual handles for single transfers.

libcurl provides a function call that duplicates en easy handle called
[curl_easy_duphandle](https://curl.se/libcurl/c/curl_easy_duphandle.html).

If a transfer has cookies enabled when the handle is duplicated, the
cookie-enable state is also cloned - but without cloning the actual
cookies. If the source handle did not read any cookies from a specific file on
disk, the cloned version of the handle would instead store the file name as
`none` (using the four ASCII letters, no quotes).

Subsequent use of the cloned handle that does not explicitly set a source to
load cookies from would then inadvertently load cookies from a file named
`none` - if such a file exists and is readable in the current directory of the
program using libcurl. And if using the correct file format of course.",CVE-2023-38546,goelavdhesh123/student-service
